name,id,types,formattedAddress,rating,reviewsCount,location
places/ChIJc34OU1HafkcRNil1puEkTg8,ChIJc34OU1HafkcRNil1puEkTg8,"['italian_restaurant', 'seafood_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via del Santo, 93, 35123 Padova PD, Italy",4.5,,
places/ChIJzR55PvjPfkcRJ7lxtptJGLM,ChIJzR55PvjPfkcRJ7lxtptJGLM,"['cafe', 'coffee_shop', 'bar', 'food', 'point_of_interest', 'store', 'establishment']","Via VIII Febbraio, 15, 35122 Padova PD, Italy",4.4,,
places/ChIJtaHsbrrafkcRdQQTi3yHS8Q,ChIJtaHsbrrafkcRdQQTi3yHS8Q,"['italian_restaurant', 'pizza_restaurant', 'hotel', 'event_venue', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via S. Marco, 51, 35129 Padova PD, Italy",4.1,,
places/ChIJtR_1yVHafkcRQmBmlJ0A8ns,ChIJtR_1yVHafkcRQmBmlJ0A8ns,"['hamburger_restaurant', 'american_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via dell'Arco, 22/26, 35122 Padova PD, Italy",4.2,,
places/ChIJ_aCgVVbafkcR41roqUQj1BM,ChIJ_aCgVVbafkcR41roqUQj1BM,"['restaurant', 'italian_restaurant', 'food', 'point_of_interest', 'establishment']","Via Cesare Battisti, 138, 35121 Padova PD, Italy",4.5,,
places/ChIJEZqaCS3afkcRgQCDseKHnBM,ChIJEZqaCS3afkcRgQCDseKHnBM,"['sports_complex', 'swimming_pool', 'gym', 'sports_club', 'bar', 'health', 'point_of_interest', 'establishment']","Via Pioveghetto, 9, 35136 Padova PD, Italy",3.9,,
places/ChIJvzoPzurbfkcRI3HZ3TwunzM,ChIJvzoPzurbfkcRI3HZ3TwunzM,"['italian_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Andrea Mantegna, 2, 35121 Padova PD, Italy",4.1,,
places/ChIJ19TvX_DafkcRv-isSDYNT3Y,ChIJ19TvX_DafkcRv-isSDYNT3Y,"['bar', 'night_club', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Ognissanti, 83, 35131 Padova PD, Italy",4.4,,
places/ChIJ-yQnyhPbfkcRAHXgsEK60pc,ChIJ-yQnyhPbfkcRAHXgsEK60pc,"['brunch_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","P.za della Garzeria, 6, 35135 Padova PD, Italy",4.2,,
places/ChIJH3nJp1HafkcRB4qO92Hc4Xw,ChIJH3nJp1HafkcRB4qO92Hc4Xw,"['sushi_restaurant', 'chinese_restaurant', 'seafood_restaurant', 'japanese_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Riviera Tito Livio, 24, 35123 Padova PD, Italy",4.4,,
